name,ra,dec,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z,yAperMag3_AB,yAperMag3Err_AB
SDSS J104629.33-005132.9,161.6222187581801,-0.8591390177267785,21.888123,0.13472798,21.622293,0.056419153,21.227869,0.0508687,20.732628,0.05115364,20.34852,0.15022917,20.6112,0.121336706
SDSS J104632.02-010054.5,161.63342798764324,-1.015164088089906,22.27671,0.18126273,20.909216,0.038894787,20.438269,0.031604405,20.303562,0.037556164,20.275078,0.14763242,20.2881,0.11454954
SDSS J104637.14-010109.1,161.65477194923795,-1.0192089259195534,22.008566,0.14518145,21.047113,0.041023646,20.703497,0.036881845,20.619953,0.048019744,20.445797,0.1710634,20.7849,0.13402013
SDSS J104648.06-005905.3,161.70025303650965,-0.9848149492702689,21.780714,0.1249373,21.536327,0.05137614,21.194733,0.051403105,20.968164,0.063869886,20.475687,0.16975328,20.9009,0.19790216
SDSS J104648.15-010130.2,161.70063619928385,-1.0250702951704822,21.538708,0.100416645,20.677332,0.035832413,20.35275,0.030423656,20.235687,0.03616522,19.925236,0.10765209,20.3671,0.09257303
SDSS J104654.07-005416.5,161.72532167475984,-0.9046049933964789,18.477573,0.01944127,16.81604,0.015322134,16.12889,0.0187358,15.886533,0.014230451,15.776949,0.013170176,15.7506,0.00432113
SDSS J104654.83-010024.9,161.72849135911179,-1.0069219583077218,17.51011,0.01660062,16.418514,0.015260804,16.011776,0.018729143,15.884674,0.014235206,15.840453,0.013269496,15.9033,0.0039606476
SDSS J104655.94-010134.0,161.73312094927644,-1.0261374896661493,16.855326,0.015753489,15.65759,0.015190042,15.206943,0.018681534,15.064936,0.014160251,15.014825,0.012724891,15.2032,0.0032907203
SDSS J104513.82-005521.1,161.30762327768875,-0.9225295036048238,18.685514,0.018688008,17.784344,0.020296643,17.535404,0.016775686,17.430576,0.013689124,17.391985,0.020074919,17.4883,0.009695801
SDSS J104513.86-005134.7,161.3077513936294,-0.8596582278097483,19.014166,0.021071432,16.87368,0.020041097,16.12202,0.01641482,15.815649,0.013104035,15.693369,0.016180126,15.6977,0.0035237256
SDSS J104517.16-010005.8,161.32152724245879,-1.0016377785563886,17.210497,0.0144296605,16.057411,0.019955058,15.684408,0.016385041,15.537448,0.013083171,15.50529,0.016127953,15.5773,0.0033047115
SDSS J104657.10-010057.0,161.7379245248573,-1.0158419116699815,17.473606,0.016395671,16.363623,0.015253809,15.866594,0.01871785,15.663765,0.01420887,15.560062,0.013022137,15.5556,0.0039396486
SDSS J104604.92-005845.6,161.5205348405044,-0.9793481237623611,22.07069,0.14516383,20.063435,0.025332134,19.27718,0.023310767,18.935366,0.018377837,18.785147,0.045296997,18.8033,0.025027625
SDSS J104447.38-010146.4,161.1974298731946,-1.0295738790859488,16.715788,0.025987593,15.565536,0.016942443,15.082197,0.018430246,14.940782,0.013384457,14.858572,0.012012605,14.9508,0.0024382109
SDSS J104641.27-005750.4,161.67199247896468,-0.9640218738580844,19.313633,0.02749281,18.439562,0.02804302,18.100344,0.018844431,17.924519,0.014545568,17.889748,0.02464902,18.0044,0.013930938
SDSS J104643.29-005233.0,161.68037891661723,-0.8758434363599837,18.097197,0.021112978,16.643368,0.027568737,16.16734,0.018186454,15.974381,0.013383554,15.918718,0.016571557,15.8806,0.0047235475
SDSS J104716.96-005302.1,161.8206977280099,-0.8839345104303468,17.833025,0.017327854,16.050516,0.015222193,15.409089,0.018688563,15.187508,0.014167099,15.089901,0.012711635,15.055,0.0026004014
SDSS J104718.93-010227.4,161.82888207538497,-1.0409669677474238,17.740793,0.017136645,16.126171,0.015230798,15.529073,0.018697131,15.323191,0.014175831,15.220181,0.012790841,15.2293,0.0028252227
SDSS J104723.14-005948.3,161.84645259230314,-0.996759951576832,18.424812,0.019353786,17.138298,0.0154077,16.619059,0.01880148,16.411257,0.014337345,16.310438,0.013779883,16.3921,0.0050972304
